Low velocity
1 planets at:
0 500
Trajectory:
131.12 79.9312
131.25 80.1197
131.379 80.3085
131.508 80.4975
131.637 80.6868
131.766 80.8763
131.895 81.0661
132.024 81.2561
132.153 81.4464
132.282 81.6369
132.411 81.8276
132.539 82.0186
132.668 82.2099
132.796 82.4014
132.925 82.5931
133.053 82.7851
133.181 82.9773
133.309 83.1698
133.437 83.3626
133.565 83.5555
133.693 83.7488
133.821 83.9423
133.949 84.136
134.076 84.33
134.204 84.5242
134.332 84.7187
134.459 84.9134
134.586 85.1084
134.714 85.3036
134.841 85.4991
134.968 85.6948
135.095 85.8908
135.222 86.0871
135.349 86.2835
135.475 86.4803
135.602 86.6773
135.729 86.8745
135.855 87.072
135.982 87.2697
136.108 87.4677
136.234 87.666
136.36 87.8644
136.487 88.0632
136.613 88.2622
136.739 88.4614
136.864 88.6609
136.99 88.8607
137.116 89.0607
137.241 89.261
137.367 89.4615
137.492 89.6622
137.618 89.8633
137.743 90.0645
137.868 90.266
137.993 90.4678
138.118 90.6699
138.243 90.8721
138.368 91.0747
138.493 91.2775
138.617 91.4805
138.742 91.6838
138.867 91.8874
138.991 92.0912
139.115 92.2952
139.24 92.4996
139.364 92.7041
139.488 92.909
139.612 93.1141
139.736 93.3194
139.859 93.525
139.983 93.7308
140.107 93.9369
140.23 94.1433
140.354 94.3499
140.477 94.5568
140.6 94.7639
140.723 94.9713
140.847 95.179
140.97 95.3869
141.092 95.595
141.215 95.8035
141.338 96.0121
141.461 96.2211
141.583 96.4303
141.706 96.6397
141.828 96.8494
141.95 97.0594
142.072 97.2696
142.195 97.4801
142.317 97.6908
142.439 97.9018
142.56 98.1131
142.682 98.3246
142.804 98.5364
142.925 98.7484
143.047 98.9607
143.168 99.1733
143.289 99.3861
143.41 99.5992
143.532 99.8125
143.653 100.026
143.773 100.24
143.894 100.454
144.015 100.668
144.136 100.883
144.256 101.098
144.377 101.313
144.497 101.529
144.617 101.744
144.737 101.96
144.857 102.176
144.977 102.393
145.097 102.61
145.217 102.827
145.336 103.044
145.456 103.261
145.576 103.479
145.695 103.697
145.814 103.915
145.933 104.134
146.052 104.353
146.171 104.572
146.29 104.791
146.409 105.011
146.528 105.231
146.646 105.451
146.765 105.671
146.883 105.892
147.002 106.113
147.12 106.334
147.238 106.556
147.356 106.778
147.474 107
147.592 107.222
147.709 107.444
147.827 107.667
147.944 107.89
148.062 108.114
148.179 108.337
148.296 108.561
148.413 108.785
148.53 109.01
148.647 109.234
148.764 109.459
148.881 109.684
148.997 109.91
149.114 110.136
149.23 110.362
149.347 110.588
149.463 110.814
149.579 111.041
149.695 111.268
149.811 111.496
149.926 111.723
150.042 111.951
150.158 112.179
150.273 112.408
150.388 112.636
150.504 112.865
150.619 113.095
150.734 113.324
150.849 113.554
150.964 113.784
151.078 114.014
151.193 114.245
151.307 114.476
151.422 114.707
151.536 114.938
151.65 115.17
151.764 115.402
151.878 115.634
151.992 115.867
152.106 116.099
152.22 116.333
152.333 116.566
152.447 116.799
152.56 117.033
152.673 117.267
152.786 117.502
152.899 117.736
153.012 117.971
153.125 118.207
153.238 118.442
153.35 118.678
153.463 118.914
153.575 119.15
153.687 119.387
153.799 119.624
153.911 119.861
154.023 120.098
154.135 120.336
154.247 120.574
154.358 120.812
154.47 121.051
154.581 121.29
154.692 121.529
154.803 121.768
154.914 122.008
155.025 122.248
155.136 122.488
155.247 122.728
155.357 122.969
155.468 123.21
155.578 123.451
155.688 123.693
155.798 123.935
155.908 124.177
156.018 124.419
156.128 124.662
156.237 124.905
156.347 125.148
156.456 125.392
156.565 125.636
156.675 125.88
156.784 126.124
156.893 126.369
157.001 126.614
157.11 126.859
157.219 127.104
157.327 127.35
157.435 127.596
157.544 127.842
157.652 128.089
157.76 128.336
157.867 128.583
157.975 128.831
158.083 129.078
158.19 129.326
158.298 129.575
158.405 129.823
158.512 130.072
158.619 130.321
158.726 130.571
158.833 130.821
158.939 131.071
159.046 131.321
159.152 131.571
159.258 131.822
159.365 132.073
159.471 132.325
159.576 132.577
159.682 132.829
159.788 133.081
159.893 133.334
159.999 133.586
160.104 133.84
160.209 134.093
160.314 134.347
160.419 134.601
160.524 134.855
160.629 135.11
160.733 135.365
160.837 135.62
160.942 135.875
161.046 136.131
161.15 136.387
161.254 136.643
161.358 136.9
161.461 137.157
161.565 137.414
161.668 137.671
161.771 137.929
161.874 138.187
161.977 138.446
162.08 138.704
162.183 138.963
162.285 139.222
162.388 139.482
162.49 139.742
162.592 140.002
162.695 140.262
162.796 140.523
162.898 140.784
163 141.045
163.101 141.307
163.203 141.569
163.304 141.831
163.405 142.093
163.506 142.356
163.607 142.619
163.708 142.882
163.808 143.146
163.909 143.41
164.009 143.674
164.109 143.939
164.209 144.203
164.309 144.468
164.409 144.734
164.509 144.999
164.608 145.265
164.708 145.532
164.807 145.798
164.906 146.065
165.005 146.332
165.104 146.6
165.202 146.868
165.301 147.136
165.399 147.404
165.498 147.673
165.596 147.942
165.694 148.211
165.792 148.48
165.889 148.75
165.987 149.02
166.084 149.291
166.182 149.562
166.279 149.833
166.376 150.104
166.472 150.376
166.569 150.648
166.666 150.92
166.762 151.192
166.858 151.465
166.955 151.738
167.05 152.012
167.146 152.286
167.242 152.56
167.338 152.834
167.433 153.109
167.528 153.384
167.623 153.659
167.718 153.935
167.813 154.211
167.908 154.487
168.002 154.763
168.097 155.04
168.191 155.317
168.285 155.595
168.379 155.872
168.473 156.15
168.566 156.429
168.66 156.707
168.753 156.986
168.846 157.266
168.939 157.545
169.032 157.825
169.125 158.105
169.217 158.386
169.31 158.666
169.402 158.947
169.494 159.229
169.586 159.511
169.678 159.793
169.769 160.075
169.861 160.358
169.952 160.641
170.043 160.924
170.134 161.207
170.225 161.491
170.316 161.775
170.407 162.06
170.497 162.345
170.587 162.63
170.677 162.915
170.767 163.201
170.857 163.487
170.947 163.774
171.036 164.06
171.125 164.347
171.214 164.635
171.303 164.922
171.392 165.21
171.481 165.498
171.569 165.787
171.658 166.076
171.746 166.365
171.834 166.655
171.922 166.944
172.009 167.235
172.097 167.525
172.184 167.816
172.271 168.107
172.358 168.398
172.445 168.69
172.532 168.982
172.618 169.275
172.705 169.567
172.791 169.86
172.877 170.154
172.963 170.447
173.048 170.741
173.134 171.036
173.219 171.33
173.305 171.625
173.39 171.92
173.474 172.216
173.559 172.512
173.644 172.808
173.728 173.105
173.812 173.401
173.896 173.699
173.98 173.996
174.063 174.294
174.147 174.592
174.23 174.891
174.313 175.189
174.396 175.489
174.479 175.788
174.562 176.088
174.644 176.388
174.726 176.688
174.808 176.989
174.89 177.29
174.972 177.591
175.054 177.893
175.135 178.195
175.216 178.498
175.297 178.8
175.378 179.103
175.459 179.407
175.539 179.71
175.619 180.014
175.7 180.319
175.78 180.623
175.859 180.928
175.939 181.234
176.018 181.539
176.097 181.845
176.176 182.152
176.255 182.458
176.334 182.765
176.412 183.073
176.491 183.38
176.569 183.688
176.647 183.997
176.725 184.305
176.802 184.614
176.879 184.924
176.957 185.233
177.034 185.543
177.11 185.854
177.187 186.164
177.263 186.475
177.34 186.787
177.416 187.098
177.492 187.41
177.567 187.723
177.643 188.035
177.718 188.348
177.793 188.662
177.868 188.975
177.943 189.289
178.017 189.604
178.091 189.918
178.166 190.233
178.239 190.549
178.313 190.864
178.387 191.18
178.46 191.497
178.533 191.814
178.606 192.131
178.679 192.448
178.751 192.766
178.824 193.084
178.896 193.402
178.968 193.721
179.04 194.04
179.111 194.36
179.182 194.68
179.254 195
179.325 195.32
179.395 195.641
179.466 195.962
179.536 196.284
179.606 196.606
179.676 196.928
179.746 197.25
179.815 197.573
179.885 197.897
179.954 198.22
180.023 198.544
180.091 198.869
180.16 199.193
180.228 199.518
180.296 199.844
180.364 200.169
180.432 200.495
180.499 200.822
180.566 201.148
180.633 201.476
180.7 201.803
180.767 202.131
180.833 202.459
180.899 202.788
180.965 203.116
181.031 203.446
181.096 203.775
181.162 204.105
181.227 204.435
181.291 204.766
181.356 205.097
181.421 205.428
181.485 205.76
181.549 206.092
181.612 206.425
181.676 206.757
181.739 207.09
181.802 207.424
181.865 207.758
181.928 208.092
181.99 208.427
182.053 208.761
182.115 209.097
182.176 209.432
182.238 209.768
182.299 210.105
182.36 210.441
182.421 210.779
182.482 211.116
182.542 211.454
182.602 211.792
182.662 212.13
182.722 212.469
182.781 212.809
182.841 213.148
182.9 213.488
182.958 213.829
183.017 214.169
183.075 214.51
183.133 214.852
183.191 215.194
183.249 215.536
183.306 215.878
183.363 216.221
183.42 216.564
183.477 216.908
183.533 217.252
183.589 217.597
183.645 217.941
183.701 218.286
183.757 218.632
183.812 218.978
183.867 219.324
183.922 219.671
183.976 220.018
184.03 220.365
184.084 220.713
184.138 221.061
184.192 221.409
184.245 221.758
184.298 222.107
184.351 222.457
184.403 222.807
184.455 223.157
184.507 223.508
184.559 223.859
184.611 224.21
184.662 224.562
184.713 224.914
184.764 225.267
184.814 225.62
184.864 225.973
