High velocity
1 planets at:
0 500
Trajectory:
24.6613 0.269764
24.7087 0.270803
24.7561 0.271845
24.8036 0.272888
24.851 0.273933
24.8984 0.27498
24.9458 0.276029
24.9932 0.27708
25.0406 0.278133
25.088 0.279188
25.1354 0.280245
25.1828 0.281304
25.2302 0.282365
25.2776 0.283428
25.325 0.284493
25.3724 0.28556
25.4198 0.286629
25.4673 0.2877
25.5147 0.288773
25.5621 0.289848
25.6095 0.290925
25.6569 0.292004
25.7043 0.293085
25.7517 0.294168
25.7991 0.295253
25.8465 0.29634
25.8939 0.297429
25.9413 0.29852
25.9887 0.299613
26.0361 0.300708
26.0835 0.301805
26.1309 0.302904
26.1783 0.304005
26.2258 0.305108
26.2732 0.306213
26.3206 0.30732
26.368 0.308429
26.4154 0.30954
26.4628 0.310653
26.5102 0.311767
26.5576 0.312884
26.605 0.314003
26.6524 0.315124
26.6998 0.316247
26.7472 0.317372
26.7946 0.318499
26.842 0.319628
26.8894 0.320758
26.9368 0.321891
26.9842 0.323026
27.0316 0.324163
27.079 0.325302
27.1264 0.326443
27.1738 0.327585
27.2212 0.32873
27.2686 0.329877
27.316 0.331026
27.3634 0.332177
27.4109 0.333329
27.4583 0.334484
27.5057 0.335641
27.5531 0.3368
27.6005 0.33796
27.6479 0.339123
27.6953 0.340288
27.7427 0.341455
27.7901 0.342623
27.8375 0.343794
27.8849 0.344967
27.9323 0.346142
27.9797 0.347318
28.0271 0.348497
28.0745 0.349678
28.1219 0.35086
28.1693 0.352045
28.2167 0.353232
28.2641 0.35442
28.3115 0.355611
28.3589 0.356804
28.4063 0.357998
28.4537 0.359195
28.5011 0.360394
28.5485 0.361594
28.5959 0.362797
28.6433 0.364001
28.6907 0.365208
28.7381 0.366417
28.7855 0.367627
28.8329 0.36884
28.8803 0.370054
28.9277 0.371271
28.9751 0.372489
29.0225 0.37371
29.0699 0.374933
29.1173 0.376157
29.1647 0.377384
29.2121 0.378612
29.2595 0.379843
29.3069 0.381075
29.3543 0.38231
29.4017 0.383546
29.4491 0.384785
29.4965 0.386025
29.5438 0.387268
29.5912 0.388512
29.6386 0.389759
29.686 0.391007
29.7334 0.392257
29.7808 0.39351
29.8282 0.394764
29.8756 0.396021
29.923 0.397279
29.9704 0.39854
30.0178 0.399802
30.0652 0.401066
30.1126 0.402333
30.16 0.403601
30.2074 0.404871
30.2548 0.406144
30.3022 0.407418
30.3496 0.408695
30.397 0.409973
30.4444 0.411253
30.4918 0.412536
30.5392 0.41382
30.5866 0.415106
30.634 0.416394
30.6814 0.417685
30.7287 0.418977
30.7761 0.420271
30.8235 0.421568
30.8709 0.422866
30.9183 0.424166
30.9657 0.425468
31.0131 0.426773
31.0605 0.428079
31.1079 0.429387
31.1553 0.430697
31.2027 0.432009
31.2501 0.433324
31.2975 0.43464
31.3449 0.435958
31.3923 0.437278
31.4397 0.4386
31.487 0.439924
31.5344 0.441251
31.5818 0.442579
31.6292 0.443909
31.6766 0.445241
31.724 0.446575
31.7714 0.447911
31.8188 0.449249
31.8662 0.450589
31.9136 0.451931
31.961 0.453276
32.0084 0.454622
32.0557 0.45597
32.1031 0.45732
32.1505 0.458672
32.1979 0.460026
32.2453 0.461382
32.2927 0.46274
32.3401 0.4641
32.3875 0.465462
32.4349 0.466826
32.4823 0.468192
32.5296 0.46956
32.577 0.47093
32.6244 0.472302
32.6718 0.473675
32.7192 0.475051
32.7666 0.476429
32.814 0.477809
32.8614 0.479191
32.9088 0.480575
32.9562 0.481961
33.0035 0.483349
33.0509 0.484739
33.0983 0.48613
33.1457 0.487524
33.1931 0.48892
33.2405 0.490318
33.2879 0.491718
33.3353 0.49312
33.3826 0.494523
33.43 0.495929
33.4774 0.497337
33.5248 0.498747
33.5722 0.500158
33.6196 0.501572
33.667 0.502988
33.7143 0.504406
33.7617 0.505825
33.8091 0.507247
33.8565 0.508671
33.9039 0.510097
33.9513 0.511524
33.9987 0.512954
34.046 0.514386
34.0934 0.515819
34.1408 0.517255
34.1882 0.518693
34.2356 0.520132
34.283 0.521574
34.3304 0.523017
34.3778 0.524463
34.4251 0.525911
34.4725 0.52736
34.5199 0.528812
34.5673 0.530265
34.6147 0.531721
34.662 0.533178
34.7094 0.534638
34.7568 0.536099
34.8042 0.537563
34.8516 0.539028
34.899 0.540496
34.9463 0.541965
34.9937 0.543437
35.0411 0.54491
35.0885 0.546386
35.1359 0.547863
35.1833 0.549343
35.2306 0.550824
35.278 0.552307
35.3254 0.553793
35.3728 0.55528
35.4202 0.556769
35.4675 0.558261
35.5149 0.559754
35.5623 0.56125
35.6097 0.562747
35.6571 0.564246
35.7045 0.565747
35.7518 0.567251
35.7992 0.568756
35.8466 0.570263
35.894 0.571773
35.9414 0.573284
35.9887 0.574797
36.0361 0.576312
36.0835 0.57783
36.1309 0.579349
36.1782 0.58087
36.2256 0.582393
36.273 0.583918
36.3204 0.585445
36.3678 0.586975
36.4151 0.588506
36.4625 0.590039
36.5099 0.591574
36.5573 0.593111
36.6047 0.59465
36.652 0.596191
36.6994 0.597734
36.7468 0.599279
36.7942 0.600826
36.8415 0.602376
36.8889 0.603927
36.9363 0.60548
36.9837 0.607035
37.0311 0.608592
37.0784 0.610151
37.1258 0.611712
37.1732 0.613274
37.2206 0.614839
37.2679 0.616406
37.3153 0.617975
37.3627 0.619546
37.4101 0.621119
37.4574 0.622694
37.5048 0.624271
37.5522 0.62585
37.5996 0.627431
37.6469 0.629013
37.6943 0.630598
37.7417 0.632185
37.7891 0.633774
37.8364 0.635365
37.8838 0.636957
37.9312 0.638552
37.9785 0.640149
38.0259 0.641748
38.0733 0.643348
38.1207 0.644951
38.168 0.646556
38.2154 0.648163
38.2628 0.649771
38.3102 0.651382
38.3575 0.652995
38.4049 0.654609
38.4523 0.656226
38.4996 0.657845
38.547 0.659465
38.5944 0.661088
38.6418 0.662712
38.6891 0.664339
38.7365 0.665967
38.7839 0.667598
38.8312 0.669231
38.8786 0.670865
38.926 0.672502
38.9734 0.67414
39.0207 0.675781
39.0681 0.677423
39.1155 0.679067
39.1628 0.680714
39.2102 0.682362
39.2576 0.684013
39.305 0.685665
39.3523 0.68732
39.3997 0.688976
39.4471 0.690634
39.4944 0.692295
39.5418 0.693957
39.5892 0.695621
39.6365 0.697288
39.6839 0.698956
39.7313 0.700626
39.7786 0.702298
39.826 0.703973
39.8734 0.705649
39.9207 0.707327
39.9681 0.709007
40.0155 0.71069
40.0628 0.712374
40.1102 0.71406
40.1576 0.715748
40.2049 0.717438
40.2523 0.71913
40.2997 0.720824
40.347 0.722521
40.3944 0.724219
40.4418 0.725919
40.4891 0.727621
40.5365 0.729325
40.5839 0.731031
40.6312 0.732739
40.6786 0.734449
40.7259 0.736161
40.7733 0.737875
40.8207 0.739591
40.868 0.741309
40.9154 0.743029
40.9628 0.744751
41.0101 0.746475
41.0575 0.748201
41.1049 0.749929
41.1522 0.751658
41.1996 0.75339
41.2469 0.755124
41.2943 0.75686
41.3417 0.758598
41.389 0.760338
41.4364 0.762079
41.4838 0.763823
41.5311 0.765569
41.5785 0.767317
41.6258 0.769066
41.6732 0.770818
41.7206 0.772572
41.7679 0.774328
41.8153 0.776085
41.8626 0.777845
41.91 0.779606
41.9574 0.78137
42.0047 0.783136
42.0521 0.784903
42.0994 0.786673
42.1468 0.788444
42.1942 0.790218
42.2415 0.791994
42.2889 0.793771
42.3362 0.795551
42.3836 0.797332
42.431 0.799116
42.4783 0.800901
42.5257 0.802688
42.573 0.804478
42.6204 0.806269
42.6678 0.808063
42.7151 0.809858
42.7625 0.811656
42.8098 0.813455
42.8572 0.815256
42.9045 0.81706
42.9519 0.818865
42.9992 0.820672
43.0466 0.822481
43.094 0.824293
43.1413 0.826106
43.1887 0.827921
43.236 0.829738
43.2834 0.831558
43.3307 0.833379
43.3781 0.835202
43.4254 0.837027
43.4728 0.838854
43.5202 0.840683
43.5675 0.842515
43.6149 0.844348
43.6622 0.846183
43.7096 0.84802
43.7569 0.849859
43.8043 0.8517
43.8516 0.853543
43.899 0.855388
43.9463 0.857235
43.9937 0.859084
44.041 0.860935
44.0884 0.862788
44.1357 0.864643
44.1831 0.866499
44.2304 0.868358
44.2778 0.870219
44.3252 0.872082
44.3725 0.873947
44.4199 0.875814
44.4672 0.877682
44.5146 0.879553
44.5619 0.881426
